MailboxSizeInMegabytes,NumberOfMailboxes,Month
0,150,2015-09
1-1000,1272,2015-09
1001-2000,69,2015-09
2001-3000,14,2015-09
3001-4000,5,2015-09
4001-5000,2,2015-09
5000+,9,2015-09
0,155,2015-11
1-1000,1284,2015-11
1001-2000,75,2015-11
2001-3000,17,2015-11
3001-4000,8,2015-11
4001-5000,2,2015-11
5000+,7,2015-11
0,98,2016-01
1-1000,1136,2016-01
1001-2000,44,2016-01
2001-3000,9,2016-01
3001-4000,8,2016-01
4001-5000,2,2016-01
5000+,3,2016-01
0,155,2016-03
1-1000,1255,2016-03
1001-2000,69,2016-03
2001-3000,19,2016-03
3001-4000,13,2016-03
4001-5000,3,2016-03
5000+,7,2016-03
0,79,2016-11
1-1000,1020,2016-11
1001-2000,194,2016-11
2001-3000,66,2016-11
3001-4000,17,2016-11
4001-5000,6,2016-11
5000+,17,2016-11
0,91,2017-01
1-1000,884,2017-01
1001-2000,246,2017-01
2001-3000,87,2017-01
3001-4000,25,2017-01
4001-5000,11,2017-01
5000+,19,2017-01
